height,weight,gender,age,overallrank,overallscore,division
1.74,88.5,M,29,1,984,Men
1.74,86.2,M,28,2,949,Men
1.55,83.9,M,26,3,888,Men
1.8,84.8,M,31,4,795,Men
1.55,87.1,M,28,5,728,Men
1.77,87.1,M,29,6,694,Men
1.71,82.1,M,26,7,671,Men
1.77,84.8,M,26,8,632,Men
1.8,83.9,M,23,9,587,Men
1.8,86.2,M,30,10,485,Men
1.55,91.6,M,28,11,368,Men
1.56,89.8,M,28,12,368,Men
1.56,90.7,M,23,13,349,Men
1.74,82.6,M,28,14,340,Men
1.77,87.5,M,26,15,329,Men
1.56,88.5,M,29,16,322,Men
1.83,95.7,M,28,17,319,Men
1.83,86.2,M,27,18,315,Men
1.86,89.8,M,25,19,303,Men
1.83,86.2,M,28,20,251,Men
1.55,86.2,M,26,21,245,Men
1.55,83.9,M,26,22,244,Men
1.89,98.4,M,28,23,243,Men
1.8,87.1,M,27,24,236,Men
1.56,94.3,M,27,25,233,Men
1.83,95.3,M,27,26,224,Men
1.55,88,M,29,27,218,Men
1.56,88.5,M,29,28,217,Men
1.86,88.5,M,35,29,216,Men
1.77,86.2,M,25,30,208,Men
1.8,83.9,M,21,31,194,Men
1.8,83.9,M,20,32,194,Men
1.8,89.4,M,25,33,193,Men
1.56,90.7,M,26,34,191,Men
1.56,88.5,M,23,35,186,Men
1.77,87.1,M,28,36,170,Men
1.74,84.8,M,24,37,165,Men
1.56,90.7,M,31,38,160,Men
1.55,83.9,M,30,39,159,Men
1.83,92.1,M,29,40,154,Men
1.83,95.3,M,33,41,116,Men
1.83,98.9,M,30,42,112,Men
1.8,87.1,M,26,43,108,Men
1.56,92.1,M,31,44,100,Men
1.56,94.8,M,28,45,99,Men
1.55,87.1,M,26,46,92,Men
1.56,86.2,M,26,47,90,Men
1.77,84.8,M,28,48,86,Men
1.8,87.1,M,19,49,74,Men
1.77,79.8,M,22,50,66,Men
1.71,74.8,M,21,51,53,Men
1.8,86.2,M,24,52,49,Men
1.8,88,M,29,53,48,Men
1.74,81.6,M,30,54,47,Men
1.8,88,M,33,55,46,Men
1.8,87.1,M,29,56,45,Men
1.8,73.9,M,27,57,41,Men
1.8,88,M,26,58,40,Men
1.55,83.9,M,29,59,35,Men
1.74,81.2,M,29,60,34,Men
1.77,76.7,M,33,61,33,Men
1.89,93,M,30,62,31,Men
1.83,95.3,M,25,63,31,Men
1.56,91.2,M,29,64,31,Men
0.15,83.9,M,32,65,31,Men
1.74,79.8,M,25,66,25,Men
0.03,76.2,M,27,67,24,Men
1.83,91.2,M,22,68,23,Men
1.83,87.1,M,29,69,20,Men
1.56,89.8,M,31,70,18,Men
1.83,88.9,M,29,71,18,Men
1.89,87.1,M,24,72,16,Men
1.77,87.1,M,24,73,13,Men
1.83,89.8,M,27,74,7,Men
1.77,76.2,M,28,75,3,Men
1.55,86.2,M,27,76,3,Men
1.8,88,M,32,77,-2,Men
1.83,88,M,28,78,-3,Men
1.83,88,M,31,79,-4,Men
